name,month,province,region,terrain,lat,lon,quarter,temp_quarter,temp_region,rain_frequency_month_name,maxdiff_temp_name,avgdiff_temp_name,maxdiff_wind_name,avgdiff_wind_name,time_sun_month_name,maxwind_kph,totalprecip_mm,cloud_cover_mean,hci,tc,avgtemp_c,avghumidity,cluster,is_centroid
Biên Hòa,12,Đồng Nai,Đông Nam Bộ,đồng bằng,10.95,106.8167,4,23.021595157559826,27.495257931200754,0.5161290322580645,3.8000000000000007,0.5175449473031619,15.600000000000001,2.3267203967761936,11.503897849462366,11.681451612903226,1.6783870967741936,76.5725806451613,42.483870967741936,44.0911056771932,26.27016129032258,73.98387096774194,0,False
Buôn Ma Thuột,1,Đắk Lắk,Tây Nguyên,miền núi,12.6667,108.05,1,22.497537549910053,21.582827620222382,0.2,3.3000000000000007,0.600309981401116,13.6,2.2714197148171107,11.481075268817204,18.985806451612905,0.38645161290322577,61.26451612903226,61.27741935483871,36.36012399929551,21.709032258064518,73.18064516129033,10,False
Buôn Ma Thuột,2,Đắk Lắk,Tây Nguyên,miền núi,12.6667,108.05,1,22.497537549910053,21.582827620222382,0.23404255319148937,3.3000000000000007,0.600309981401116,13.6,2.2714197148171107,11.732978723404255,19.23617021276596,0.2127659574468085,54.5531914893617,55.09929078014184,41.16261927178349,23.66099290780142,68.7872340425532,10,False
Buôn Ma Thuột,3,Đắk Lắk,Tây Nguyên,miền núi,12.6667,108.05,1,22.497537549910053,21.582827620222382,0.2838709677419355,3.3000000000000007,0.600309981401116,13.6,2.2714197148171107,12.060322580645161,17.55032258064516,0.9520645161290322,53.31612903225806,49.45161290322581,46.02221507087571,25.75032258064516,63.39354838709677,10,False
Buôn Ma Thuột,4,Đắk Lắk,Tây Nguyên,miền núi,12.6667,108.05,2,26.81904528481677,21.582827620222382,0.6733333333333333,3.3000000000000007,0.600309981401116,13.6,2.2714197148171107,12.409777777777778,14.342666666666668,2.3353333333333333,67.5,43.04666666666667,48.899211465353666,27.204,64.61333333333333,11,False
Buôn Ma Thuột,5,Đắk Lắk,Tây Nguyên,miền núi,12.6667,108.05,2,26.819045284816767,21.582827620222382,0.9225806451612903,3.3000000000000007,0.600309981401116,13.6,2.2714197148171107,12.705806451612904,10.641935483870968,9.811806451612902,82.1741935483871,28.43225806451613,47.23743496784858,26.20709677419355,77.61935483870968,11,False
Buôn Ma Thuột,6,Đắk Lắk,Tây Nguyên,miền núi,12.6667,108.05,2,26.81904528481677,21.582827620222382,0.9918032786885246,3.3000000000000007,0.600309981401116,13.6,2.2714197148171107,12.85204918032787,10.51639344262295,8.538852459016393,80.87704918032787,27.434426229508198,45.0928872175769,25.20327868852459,83.18852459016394,11,False
Buôn Ma Thuột,7,Đắk Lắk,Tây Nguyên,miền núi,12.6667,108.05,3,26.422701985514482,21.582827620222382,0.9919354838709677,3.3000000000000007,0.600309981401116,13.6,2.2714197148171107,12.780510752688171,11.023387096774194,13.779596774193548,87.18548387096774,22.129032258064516,42.6590525826911,24.246774193548386,89.44354838709677,11,False
Buôn Ma Thuột,8,Đắk Lắk,Tây Nguyên,miền núi,12.6667,108.05,3,26.422701985514482,21.582827620222382,0.9919354838709677,3.3000000000000007,0.600309981401116,13.6,2.2714197148171107,12.524865591397848,10.457258064516129,9.234274193548387,80.98387096774194,27.193548387096776,43.643262239112254,24.550806451612903,87.38709677419355,11,False
Buôn Ma Thuột,9,Đắk Lắk,Tây Nguyên,miền núi,12.6667,108.05,3,26.422701985514482,21.582827620222382,0.9916666666666667,3.300000000000001,0.600309981401116,13.6,2.2714197148171107,12.196944444444446,9.045833333333333,16.688916666666668,90.94166666666666,21.466666666666665,41.81144743067968,23.670833333333334,91.46666666666667,11,False
Buôn Ma Thuột,10,Đắk Lắk,Tây Nguyên,miền núi,12.6667,108.05,4,23.021595157559826,21.582827620222382,0.9354838709677419,3.3000000000000007,0.600309981401116,13.6,2.2714197148171107,11.846370967741937,10.591935483870968,8.124032258064515,87.41129032258064,29.096774193548388,41.799537202966874,23.463709677419356,88.84677419354838,11,False
Buôn Ma Thuột,11,Đắk Lắk,Tây Nguyên,miền núi,12.6667,108.05,4,23.02159515755983,21.582827620222382,0.675,3.300000000000001,0.600309981401116,13.6,2.2714197148171107,11.549305555555556,15.785,4.194583333333333,76.625,45.3,39.81445848987992,23.34,83.24166666666666,10,False
Buôn Ma Thuột,12,Đắk Lắk,Tây Nguyên,miền núi,12.6667,108.05,4,23.021595157559826,21.582827620222382,0.4435483870967742,3.3000000000000007,0.600309981401116,13.6,2.2714197148171107,11.401612903225805,18.228225806451615,0.7104838709677419,74.44354838709677,57.61290322580645,36.30345207881608,22.058870967741935,79.79838709677419,10,False
Bạc Liêu,1,Bạc Liêu,Đồng bằng sông Cửu Long,ven biển,9.285,105.7244,1,22.497537549910053,27.220691790499192,0.5225806451612903,4.0,0.4771233725976441,15.5,2.9828890266584,11.655806451612904,19.001290322580644,1.3674193548387097,75.56774193548387,55.27741935483871,41.889430788684535,25.81290322580645,72.81290322580645,0,False
Bạc Liêu,2,Bạc Liêu,Đồng bằng sông Cửu Long,ven biển,9.285,105.7244,1,22.497537549910053,27.220691790499192,0.48936170212765956,4.0,0.4771233725976441,15.5,2.9828890266584,11.835697399527186,24.092198581560282,0.5173758865248227,64.79432624113475,58.709219858156025,44.255912287669524,26.95957446808511,69.56737588652483,0,False
Bạc Liêu,3,Bạc Liêu,Đồng bằng sông Cửu Long,ven biển,9.285,105.7244,1,22.497537549910053,27.220691790499192,0.4645161290322581,4.0,0.4771233725976441,15.5,2.9828890266584,12.073548387096775,23.99741935483871,0.6914838709677419,62.84516129032258,58.75483870967742,46.5350881441069,28.26451612903226,66.7741935483871,0,False
Bạc Liêu,4,Bạc Liêu,Đồng bằng sông Cửu Long,ven biển,9.285,105.7244,2,26.81904528481677,27.220691790499192,0.7933333333333333,4.0,0.4771233725976441,15.5,2.9828890266584,12.32411111111111,19.565333333333335,3.695933333333333,66.68666666666667,53.71333333333333,46.94549535302954,29.292,65.95333333333333,0,False
Bạc Liêu,5,Bạc Liêu,Đồng bằng sông Cửu Long,ven biển,9.285,105.7244,2,26.819045284816767,27.220691790499192,0.9870967741935484,4.0,0.4771233725976441,15.5,2.9828890266584,12.542043010752687,17.81290322580645,8.76225806451613,80.36129032258064,40.41290322580645,46.0952715923712,29.04774193548387,69.79354838709678,2,False
Bạc Liêu,6,Bạc Liêu,Đồng bằng sông Cửu Long,ven biển,9.285,105.7244,2,26.81904528481677,27.220691790499192,0.9836065573770492,4.0,0.4771233725976441,15.5,2.9828890266584,12.64877049180328,17.102459016393443,10.320245901639344,87.18032786885246,34.5655737704918,44.90385760832122,28.19344262295082,74.0327868852459,2,False
Bạc Liêu,7,Bạc Liêu,Đồng bằng sông Cửu Long,ven biển,9.285,105.7244,3,26.422701985514482,27.220691790499192,0.9919354838709677,4.0,0.4771233725976441,15.5,2.9828890266584,12.595161290322581,18.521774193548385,13.153951612903224,88.26612903225806,31.419354838709676,43.46470569345957,27.068548387096776,81.21774193548387,2,False
Bạc Liêu,8,Bạc Liêu,Đồng bằng sông Cửu Long,ven biển,9.285,105.7244,3,26.422701985514482,27.220691790499192,0.9919354838709677,4.0,0.4771233725976441,15.5,2.9828890266584,12.408870967741937,17.91774193548387,10.499596774193549,80.50806451612904,37.645161290322584,44.74063881826945,27.481451612903225,78.29838709677419,2,False
